source_file,authors,year,title,venue,doi
14.txt,"Jiuyuan Huo, Jinquan Liu, Guanxiang Pei, and Tingjuan Wang",2023,Research on LOD Lightweight Method of Railway Four Electric BIM Model,Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering (EITCE '22),https://doi.org/10.1145/3573428.3573514
14.txt,"Xifeng Gao, Kui Wu, and Zherong Pan",2022,Low-poly Mesh Generation for Building Models,ACM SIGGRAPH 2022 Conference Proceedings (SIGGRAPH '22),https://doi.org/10.1145/3528233.3530716
14.txt,"Jiongnan Liu, Zhicheng Dou, Guoyu Tang, and Sulong Xu",2023,JDsearch: A Personalized Product Search Dataset with Real Queries and Full Interactions,Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '23),https://doi.org/10.1145/3539618.3591900
14.txt,Changli Liu and Ke Han,2026,Design and Application of a Digital Exhibition Hall for Folk Sports Culture Based on Virtual Reality Technology,Proceedings of the 2026 3rd International Conference on Informatics Education and Computer Technology Applications (IECA 2026),https://doi.org/10.1145/3802133.3802213
14.txt,"Zhiding Liang, Zhixin Song, Jinglei Cheng, Hang Ren, Tianyi Hao, Rui Yang, Yiyu Shi, and Tongyang Li",2024,Combining Parameterized Pulses and Contextual Subspace for More Practical VQE,Proceedings of the 61st ACM/IEEE Design Automation Conference (DAC '24),https://doi.org/10.1145/3649329.3656245
14.txt,"Teng Shi, Zihua Si, Jun Xu, Xiao Zhang, Xiaoxue Zang, Kai Zheng, Dewei Leng, Yanan Niu, and Yang Song",2024,UniSAR: Modeling User Transition Behaviors between Search and Recommendation,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '24),https://doi.org/10.1145/3626772.3657811
14.txt,"Tianchang Shen, Zhaoshuo Li, Marc Law, Matan Atzmon, Sanja Fidler, James Lucas, Jun Gao, and Nicholas Sharp",2024,SpaceMesh: A Continuous Representation for Learning Manifold Surface Meshes,SIGGRAPH Asia 2024 Conference Papers (SA '24),https://doi.org/10.1145/3680528.3687634
14.txt,"Guodong Chen, Filip Hácha, Libor Váša, and Mallesham Dasari",2025,TVMC: Time-Varying Mesh Compression Using Volume-Tracked Reference Meshes,Proceedings of the 16th ACM Multimedia Systems Conference (MMSys '25),https://doi.org/10.1145/3712676.3714440
14.txt,"Chuanchuan Wang, Yatong Xu, Minjie Tang, Jie Li, Hui Mao, and Shiliang Pu",2022,Robust Vectorized Surface Reconstruction with 2D-3D Joint Optimization,SIGGRAPH Asia 2022 Posters (SA '22),https://doi.org/10.1145/3550082.3564202
14.txt,Renjiang Wang and Yansong Zhang,2026,Research on Real-Scene 3D Modeling of Geoinformation Based on UAV Oblique Photogrammetry Data,Proceedings of the 2025 3rd International Conference on Mathematics and Machine Learning (ICMML '25),https://doi.org/10.1145/3783779.3783847
14.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
14.txt,"Giuseppe Paolo, Alexandre Coninx, Stephane Doncieux, and Alban Laflaquière",2021,Sparse reward exploration via novelty search and emitters,Proceedings of the Genetic and Evolutionary Computation Conference (GECCO '21),https://doi.org/10.1145/3449639.3459314
14.txt,Dmitriy Bystrov,2024,Information Retrieval Multi-Agent System Established on the Metaphysics Lexical Database,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security (NISS '24)",https://doi.org/10.1145/3659677.3659827
14.txt,"Saikat Basu, Amit Saha, Amlan Chakrabarti, and Susmita Sur-Kolay",2022,I-QER: An Intelligent Approach Towards Quantum Error Reduction,ACM Transactions on Quantum Computing,https://doi.org/10.1145/3539613
14.txt,"Nan Qin, Jilin Wang, Qin Ma, Zhicheng Dong, Xiaoliang Wang, and Xiaoming Yang",2024,Clean Installation Training System for Gas-Insulated Metal-Enclosed Switchgear based on Three-Dimensional Modeling and Virtual Reality Technology,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering (ICCSIE '24),https://doi.org/10.1145/3689236.3696269
14.txt,"Juntang Yang, Fengwei Wu, and Yang Zhao",2025,Research and Design of Underground Engineering 3D Visualization Analysis System Based on BIM+ Technology,Proceedings of the 2025 International Conference on Smart City and Sustainable Development (SCSD '25),https://doi.org/10.1145/3747012.3747025
14.txt,"Keping Bi, Qingyao Ai, and W. Bruce Croft",2021,Learning a Fine-Grained Review-based Transformer Model for Personalized Product Search,Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '21),https://doi.org/10.1145/3404835.3462911
14.txt,Rui Li,2023,Real-world large-scale terrain model reconstruction and real-time rendering,Proceedings of the 28th International ACM Conference on 3D Web Technology (Web3D '23),https://doi.org/10.1145/3611314.3615901
14.txt,"Xinmu Wang, Xiang Gao, Xiyun Song, Heather Yu, Zongfang Lin, Liang Peng, and Xianfeng Gu",2025,OT-Talk: Animating 3D Talking Head with Optimal Transportation,Proceedings of the 2025 International Conference on Multimedia Retrieval (ICMR '25),https://doi.org/10.1145/3731715.3733411
14.txt,"Erhu Feng, Dahu Feng, Dong Du, Yubin Xia, and Haibo Chen",2025,SNPU: Trusted Execution Environments on Integrated NPUs,Proceedings of the 51st Annual International Symposium on Computer Architecture (ISCA '24),https://doi.org/10.1109/ISCA59077.2024.00057
14.txt,"Wanna Luan, Chengming Liu, and Haibo Pang",2021,Skeleton-bridged Mesh Saliency and Mesh Simplification,Proceedings of the 2020 4th International Conference on Computer Science and Artificial Intelligence (CSAI '20),https://doi.org/10.1145/3445815.3445861
14.txt,"Yaoan Gao, Jiamin Xu, James Tompkin, Qi Wang, Zheng Dong, Hujun Bao, Yujun Shen, Huamin Wang, Changqing Zou, and Weiwei Xu",2025,Efficient Object Reconstruction with Differentiable Area Light Shading,Proceedings of the SIGGRAPH Asia 2025 Conference Papers (SA Conference Papers '25),https://doi.org/10.1145/3757377.3763865
14.txt,"Huadong Zhang, Lizhou Cao, and Chao Peng",2025,UltraMeshRenderer: Efficient Structure and Management of GPU Out-of-core Memory for Real-time Rendering of Gigantic 3D Meshes,ACM Trans. Graph.,https://doi.org/10.1145/3731186
14.txt,"Yunting Song, Riccardo Fellegara, Federico Iuricich, and Leila De Floriani",2024,Parallel Topology-aware Mesh Simplification on Terrain Trees,ACM Trans. Spatial Algorithms Syst.,https://doi.org/10.1145/3652602
14.txt,"Wei Wang, Kui Yang, and Yingze Ye",2021,Design and Implementation of 3D Model Progressive Compression Transmission System,Proceedings of the 2020 4th International Conference on Electronic Information Technology and Computer Engineering (EITCE '20),https://doi.org/10.1145/3443467.3443778
